type,term_start,term_end,state,district,party,class,address,office,state_rank,bioguide_id,birthdate,gender,first_name,last_name
rep,1993-01-05,1995-01-03,OH,13.0,Democrat,,,,,B000944,1952-11-09,M,Sherrod,Brown
rep,1995-01-04,1997-01-03,OH,13.0,Democrat,,,,,B000944,1952-11-09,M,Sherrod,Brown
rep,1997-01-07,1999-01-03,OH,13.0,Democrat,,,,,B000944,1952-11-09,M,Sherrod,Brown
rep,1999-01-06,2001-01-03,OH,13.0,Democrat,,,,,B000944,1952-11-09,M,Sherrod,Brown
rep,2001-01-03,2003-01-03,OH,13.0,Democrat,,,,,B000944,1952-11-09,M,Sherrod,Brown
rep,2003-01-07,2005-01-03,OH,13.0,Democrat,,,,,B000944,1952-11-09,M,Sherrod,Brown
rep,2005-01-04,2007-01-03,OH,13.0,Democrat,,,,,B000944,1952-11-09,M,Sherrod,Brown
sen,2007-01-04,2013-01-03,OH,,Democrat,1.0,713 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,713 Hart Senate Office Building,,B000944,1952-11-09,M,Sherrod,Brown
sen,2013-01-03,2019-01-03,OH,,Democrat,1.0,713 Hart Senate Office Building Washington DC 20510,713 Hart Senate Office Building,senior,B000944,1952-11-09,M,Sherrod,Brown
sen,2019-01-03,2025-01-03,OH,,Democrat,1.0,503 Hart Senate Office Building Washington DC 20510,503 Hart Senate Office Building,senior,B000944,1952-11-09,M,Sherrod,Brown
rep,1993-01-05,1995-01-03,WA,1.0,Democrat,,,,,C000127,1958-10-13,F,Maria,Cantwell
sen,2001-01-03,2007-01-03,WA,,Democrat,1.0,,,,C000127,1958-10-13,F,Maria,Cantwell
sen,2007-01-04,2013-01-03,WA,,Democrat,1.0,311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,311 Hart Senate Office Building,,C000127,1958-10-13,F,Maria,Cantwell
sen,2013-01-03,2019-01-03,WA,,Democrat,1.0,511 Hart Senate Office Building Washington DC 20510,511 Hart Senate Office Building,junior,C000127,1958-10-13,F,Maria,Cantwell
sen,2019-01-03,2025-01-03,WA,,Democrat,1.0,511 Hart Senate Office Building Washington DC 20510,511 Hart Senate Office Building,junior,C000127,1958-10-13,F,Maria,Cantwell
rep,1987-01-06,1989-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,1989-01-03,1991-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,1991-01-03,1993-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,1993-01-05,1995-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,1995-01-04,1997-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,1997-01-07,1999-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,1999-01-06,2001-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,2001-01-03,2003-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,2003-01-07,2005-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
rep,2005-01-04,2007-01-03,MD,3.0,Democrat,,,,,C000141,1943-10-05,M,Benjamin,Cardin
sen,2007-01-04,2013-01-03,MD,,Democrat,1.0,509 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,509 Hart Senate Office Building,,C000141,1943-10-05,M,Benjamin,Cardin
sen,2013-01-03,2019-01-03,MD,,Democrat,1.0,509 Hart Senate Office Building Washington DC 20510,509 Hart Senate Office Building,senior,C000141,1943-10-05,M,Benjamin,Cardin
sen,2019-01-03,2025-01-03,MD,,Democrat,1.0,509 Hart Senate Office Building Washington DC 20510,509 Hart Senate Office Building,senior,C000141,1943-10-05,M,Benjamin,Cardin
rep,1983-01-03,1985-01-03,DE,0.0,Democrat,,,,,C000174,1947-01-23,M,Thomas,Carper
rep,1985-01-03,1987-01-03,DE,0.0,Democrat,,,,,C000174,1947-01-23,M,Thomas,Carper
rep,1987-01-06,1989-01-03,DE,0.0,Democrat,,,,,C000174,1947-01-23,M,Thomas,Carper
rep,1989-01-03,1991-01-03,DE,0.0,Democrat,,,,,C000174,1947-01-23,M,Thomas,Carper
rep,1991-01-03,1993-01-03,DE,0.0,Democrat,,,,,C000174,1947-01-23,M,Thomas,Carper
sen,2001-01-03,2007-01-03,DE,,Democrat,1.0,,,,C000174,1947-01-23,M,Thomas,Carper
sen,2007-01-04,2013-01-03,DE,,Democrat,1.0,513 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,513 Hart Senate Office Building,,C000174,1947-01-23,M,Thomas,Carper
sen,2013-01-03,2019-01-03,DE,,Democrat,1.0,513 Hart Senate Office Building Washington DC 20510,513 Hart Senate Office Building,senior,C000174,1947-01-23,M,Thomas,Carper
sen,2019-01-03,2025-01-03,DE,,Democrat,1.0,513 Hart Senate Office Building Washington DC 20510,513 Hart Senate Office Building,senior,C000174,1947-01-23,M,Thomas,Carper
sen,2007-01-04,2013-01-03,PA,,Democrat,1.0,393 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,393 Russell Senate Office Building,,C001070,1960-04-13,M,Robert,Casey
sen,2013-01-03,2019-01-03,PA,,Democrat,1.0,393 Russell Senate Office Building Washington DC 20510,393 Russell Senate Office Building,senior,C001070,1960-04-13,M,Robert,Casey
sen,2019-01-03,2025-01-03,PA,,Democrat,1.0,393 Russell Senate Office Building Washington DC 20510,393 Russell Senate Office Building,senior,C001070,1960-04-13,M,Robert,Casey
sen,1992-11-10,1995-01-03,CA,,Democrat,1.0,,,,F000062,1933-06-22,F,Dianne,Feinstein
sen,1995-01-04,2001-01-03,CA,,Democrat,1.0,,,,F000062,1933-06-22,F,Dianne,Feinstein
sen,2001-01-03,2007-01-03,CA,,Democrat,1.0,,,,F000062,1933-06-22,F,Dianne,Feinstein
sen,2007-01-04,2013-01-03,CA,,Democrat,1.0,331 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,331 Hart Senate Office Building,,F000062,1933-06-22,F,Dianne,Feinstein
sen,2013-01-03,2019-01-03,CA,,Democrat,1.0,331 Hart Senate Office Building Washington DC 20510,331 Hart Senate Office Building,senior,F000062,1933-06-22,F,Dianne,Feinstein
sen,2019-01-03,2025-01-03,CA,,Democrat,1.0,331 Hart Senate Office Building Washington DC 20510,331 Hart Senate Office Building,senior,F000062,1933-06-22,F,Dianne,Feinstein
sen,2007-01-04,2013-01-03,MN,,Democrat,1.0,302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,302 Hart Senate Office Building,,K000367,1960-05-25,F,Amy,Klobuchar
sen,2013-01-03,2019-01-03,MN,,Democrat,1.0,302 Hart Senate Office Building Washington DC 20510,302 Hart Senate Office Building,senior,K000367,1960-05-25,F,Amy,Klobuchar
sen,2019-01-03,2025-01-03,MN,,Democrat,1.0,425 Dirksen Senate Office Building Washington DC 20510,425 Dirksen Senate Office Building,senior,K000367,1960-05-25,F,Amy,Klobuchar
rep,1993-01-05,1995-01-03,NJ,13.0,Democrat,,,,,M000639,1954-01-01,M,Robert,Menendez
rep,1995-01-04,1997-01-03,NJ,13.0,Democrat,,,,,M000639,1954-01-01,M,Robert,Menendez
rep,1997-01-07,1999-01-03,NJ,13.0,Democrat,,,,,M000639,1954-01-01,M,Robert,Menendez
rep,1999-01-06,2001-01-03,NJ,13.0,Democrat,,,,,M000639,1954-01-01,M,Robert,Menendez
rep,2001-01-03,2003-01-03,NJ,13.0,Democrat,,,,,M000639,1954-01-01,M,Robert,Menendez
rep,2003-01-07,2005-01-03,NJ,13.0,Democrat,,,,,M000639,1954-01-01,M,Robert,Menendez
rep,2005-01-04,2006-01-16,NJ,13.0,Democrat,,,,,M000639,1954-01-01,M,Robert,Menendez
sen,2006-01-18,2007-01-03,NJ,,Democrat,1.0,,,,M000639,1954-01-01,M,Robert,Menendez
sen,2007-01-04,2013-01-03,NJ,,Democrat,1.0,528 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,528 Hart Senate Office Building,,M000639,1954-01-01,M,Robert,Menendez
sen,2013-01-03,2019-01-03,NJ,,Democrat,1.0,528 Hart Senate Office Building Washington DC 20510,528 Hart Senate Office Building,senior,M000639,1954-01-01,M,Robert,Menendez
sen,2019-01-03,2025-01-03,NJ,,Democrat,1.0,528 Hart Senate Office Building Washington DC 20510,528 Hart Senate Office Building,senior,M000639,1954-01-01,M,Robert,Menendez
rep,1991-01-03,1993-01-03,VT,0.0,Independent,,,,,S000033,1941-09-08,M,Bernard,Sanders
